x,y,Class
6.505574093763115684e-01,4.402593912094410755e-01,1.000000000000000000e+00
-1.024128684317836102e+00,-7.106435371107755472e-01,0.000000000000000000e+00
2.340066418524953396e-01,1.289611056658775734e+00,0.000000000000000000e+00
1.472290848055093915e-02,-1.144782102344976460e+00,1.000000000000000000e+00
8.995302161657364737e-01,4.943162163641484086e-01,1.000000000000000000e+00
1.244238213370768786e+00,3.178185467888558491e-01,1.000000000000000000e+00
-5.060175069011385585e-01,5.453476093354194809e-01,0.000000000000000000e+00
-1.302161561966472814e+00,1.475886203870431790e-01,1.000000000000000000e+00
-3.333008839087263642e-01,1.086308010023793402e+00,0.000000000000000000e+00
8.023919714329527109e-01,-8.503645683276047640e-01,0.000000000000000000e+00
-1.053755139809731567e+00,3.890652350077954402e-01,1.000000000000000000e+00
8.977174093772622987e-01,4.996145651812800015e-02,1.000000000000000000e+00
9.977541163733799623e-01,-7.022417765438662141e-01,0.000000000000000000e+00
2.192595288483124571e-01,9.940330599176777637e-01,0.000000000000000000e+00
4.285173573048123297e-02,7.000597631508007623e-01,1.000000000000000000e+00
-7.580418856875223987e-01,-3.087845025592864112e-01,0.000000000000000000e+00
-2.826749742448257940e-01,-1.362853507919029594e+00,1.000000000000000000e+00
5.568164642617884352e-01,1.115782595377073694e+00,1.000000000000000000e+00
6.254245894712964216e-01,-8.195290902009472189e-01,0.000000000000000000e+00
7.693635372062815891e-01,5.478229804439693762e-01,0.000000000000000000e+00
8.204957759583115795e-01,9.086022386605974166e-01,0.000000000000000000e+00
-1.026326015548497117e-01,1.348346218591651047e+00,1.000000000000000000e+00
-3.015911424665488894e-01,7.861540231507113674e-01,1.000000000000000000e+00
-3.287082998922656318e-01,-6.548661258932040319e-01,0.000000000000000000e+00
5.791631844453954958e-01,7.268194905383387749e-02,1.000000000000000000e+00
-1.037531083254817688e+00,6.611790379200058743e-01,1.000000000000000000e+00
-1.618378001836363322e-01,1.065596401639011148e+00,1.000000000000000000e+00
-5.345615114600139606e-01,-6.464892087553740785e-01,0.000000000000000000e+00
-4.113610437017758414e-01,-1.153539813293697369e+00,0.000000000000000000e+00
-7.982813028996466054e-01,6.089976272115729117e-01,1.000000000000000000e+00
-2.235217518859943242e-01,1.124993794356700327e+00,1.000000000000000000e+00
-7.785006177801576666e-01,-5.765292184566512823e-01,1.000000000000000000e+00
9.637254843617703015e-01,3.218335969510918715e-02,0.000000000000000000e+00
3.978650726597482423e-01,-4.687494250282558395e-01,1.000000000000000000e+00
-4.315356133100360370e-01,-3.426019722723065986e-01,1.000000000000000000e+00
-6.697331537746938901e-01,-2.066602419666667412e-01,0.000000000000000000e+00
9.103750612257834884e-01,5.479142816084020540e-01,1.000000000000000000e+00
-9.235892565355113826e-01,6.100336118446084699e-01,1.000000000000000000e+00
8.919195733615226107e-01,-3.532179978842130974e-01,1.000000000000000000e+00
6.145913193166643307e-01,-1.639240915131551235e-01,0.000000000000000000e+00
8.629557456566728790e-01,6.270296075892287657e-01,0.000000000000000000e+00
1.013379846167175469e+00,-1.238000169027943520e-01,0.000000000000000000e+00
5.206591718280557668e-01,-5.770024602884828990e-01,1.000000000000000000e+00
-3.011273660413805175e-01,1.646058771289010014e+00,0.000000000000000000e+00
3.665951479331251428e-01,-9.511977196412058078e-01,0.000000000000000000e+00
-6.669332090232754640e-02,-6.742731302992911457e-01,0.000000000000000000e+00
-9.084316232779792166e-01,3.366723906497969820e-01,0.000000000000000000e+00
3.440846486395240933e-01,-6.559976104195364144e-01,1.000000000000000000e+00
-8.693718732497706103e-01,6.150556331184002801e-01,0.000000000000000000e+00
7.787770719850909407e-01,-3.134558941362808326e-01,0.000000000000000000e+00
-9.910706728950208211e-01,7.297476047665635290e-02,1.000000000000000000e+00
-3.722200210031436085e-01,5.988109694994740995e-01,1.000000000000000000e+00
-1.380650651228949144e+00,7.040993772091870273e-01,1.000000000000000000e+00
-3.950899409240136162e-01,8.227892953752584670e-01,1.000000000000000000e+00
7.424327446140313036e-01,2.909582313131063858e-01,0.000000000000000000e+00
4.700533813287681717e-01,3.861771102321090998e-01,1.000000000000000000e+00
-1.543662732005718075e-01,-8.521202117913856400e-01,0.000000000000000000e+00
6.061428536648963972e-01,1.153203176837446636e-01,1.000000000000000000e+00
6.173613595211255856e-01,-6.526614864796216331e-01,0.000000000000000000e+00
7.703381119595269499e-01,5.910134069292244385e-01,0.000000000000000000e+00
-8.826789513779262908e-01,7.326950653840581529e-01,0.000000000000000000e+00
6.708902691816780450e-01,-1.016846080842905287e-01,0.000000000000000000e+00
7.488610190067572503e-02,-1.287022660918633266e+00,0.000000000000000000e+00
1.358698002220310563e+00,-3.303496864963509361e-01,0.000000000000000000e+00
-1.054201205274969133e-01,-4.996258329906722029e-01,1.000000000000000000e+00
1.465971447067557221e-01,9.381487076306974648e-01,0.000000000000000000e+00
-6.262014446236697784e-01,2.881223094810979601e-01,0.000000000000000000e+00
-3.355134817196125940e-01,6.556794907643406778e-02,1.000000000000000000e+00
7.264616879688279294e-01,-1.164087481582428141e-01,1.000000000000000000e+00
-9.040330431106310405e-01,1.145278937894431415e-01,0.000000000000000000e+00
-2.230764589993270153e-01,9.239356636379586485e-01,0.000000000000000000e+00
-8.229472195157665482e-01,-2.594436075784520290e-01,1.000000000000000000e+00
6.968421661906168962e-01,7.722309981338481011e-01,1.000000000000000000e+00
-7.521754325500774607e-01,7.749116922313470379e-01,0.000000000000000000e+00
